iter	MultiClass
609	0.3847733601
610	0.3845848821
611	0.3843473278
612	0.3839218772
613	0.3836067156
614	0.3833643525
615	0.3830825249
616	0.3827515393
617	0.3824235629
618	0.3822015517
619	0.3818754402
620	0.3815856849
621	0.3812932012
622	0.3810276565
623	0.3807295033
624	0.3806049434
625	0.3799000117
626	0.3795261396
627	0.3791436492
628	0.3788500038
629	0.3786195047
630	0.3782968061
631	0.3780379978
632	0.3776900155
633	0.3774532567
634	0.3771489526
635	0.3766786964
636	0.3763450024
637	0.37620015
638	0.3759304056
639	0.3754504556
640	0.3749997005
641	0.3748104882
642	0.3745996598
643	0.3744360093
644	0.3743605088
645	0.374070165
646	0.3737261317
647	0.3735403174
648	0.3732434144
649	0.3727195771
650	0.3724650875
651	0.3721942423
652	0.3719007841
653	0.371386049
654	0.3712193065
655	0.3707377703
656	0.3705648563
657	0.3703146727
658	0.3700748958
659	0.3696245986
660	0.3694561192
661	0.3691678744
662	0.3690162089
663	0.3688181509
664	0.3686690173
665	0.3683359934
666	0.3679736441
667	0.3677916625
668	0.3674831065
669	0.3672871823
670	0.366952757
671	0.3668228384
672	0.3665369608
673	0.3663533932
674	0.3658656589
675	0.3656638149
676	0.3653617574
677	0.3651008592
678	0.3649095638
679	0.3645544871
680	0.3643681907
681	0.363924836
682	0.3637649684
683	0.3636183213
684	0.3634190941
685	0.3630833511
686	0.3628099687
687	0.3623643859
688	0.3619241476
689	0.3615309098
690	0.3614423318
691	0.3612462347
692	0.3608754795
693	0.3605280065
694	0.3603244143
695	0.3600916505
696	0.3599028149
697	0.3595583838
698	0.3592337805
699	0.3590711961
700	0.3588824524
701	0.3584633742
702	0.358206541
703	0.3580121896
704	0.3577451301
705	0.3576803269
706	0.3574843822
707	0.357226799
708	0.3571071721
709	0.3568522096
710	0.3564792716
711	0.3562281418
712	0.3560387579
713	0.3557842861
714	0.3555365682
715	0.3553146298
716	0.3549138721
717	0.3546226674
718	0.3542143439
719	0.3539258168
720	0.3536852893
721	0.3534096501
722	0.3531908511
723	0.3528029649
724	0.352644597
725	0.3524610048
726	0.3522304024
727	0.3521420392
728	0.35177659
729	0.351422051
730	0.3511456753
731	0.3508458899
732	0.3506812497
733	0.3503971103
734	0.3500470129
735	0.3498634419
736	0.3495392195
737	0.3492226008
738	0.3490441792
739	0.3486651666
740	0.3485060387
741	0.3483004076
742	0.3481085485
743	0.3479170892
744	0.3477484539
745	0.3475406009
746	0.3473881377
747	0.3469099984
748	0.3467053424
749	0.3464880334
750	0.3462943486
751	0.3458286594
752	0.3455268444
753	0.3451862028
754	0.3449070012
755	0.3446720139
756	0.3443855365
757	0.3440116828
758	0.3437652895
759	0.3435356067
760	0.3433642746
761	0.3430717154
762	0.3428478917
763	0.3426715895
764	0.3424642744
765	0.3423471962
766	0.3419731497
767	0.3417995101
768	0.3415293133
769	0.3413362401
770	0.3410724429
771	0.3408691232
772	0.3404910378
773	0.3402597248
774	0.339828127
775	0.3397487218
776	0.3395168546
777	0.3392731089
778	0.3390300484
779	0.3389444156
780	0.3386492811
781	0.3385152086
782	0.3383551822
783	0.338121619
784	0.3380089052
785	0.337684641
786	0.3374865092
787	0.3370590209
788	0.3368527387
789	0.3366134833
790	0.3363608202
791	0.3362670703
792	0.33601177
793	0.3356767194
794	0.3353660576
795	0.3352565061
796	0.3349881806
797	0.334791157
798	0.3346592952
799	0.3342365328
800	0.3340248298
801	0.3338365194
802	0.3334779704
803	0.3333839092
804	0.3331956583
805	0.3329204518
806	0.3326543926
807	0.3325091311
808	0.3320437814
809	0.3317215789
810	0.3315176552
811	0.3313484296
812	0.3309392807
813	0.3306542357
814	0.3303544633
815	0.3300681716
816	0.3297660997
817	0.3295393397
818	0.3294048406
819	0.3291267743
820	0.3286912601
821	0.3285090693
822	0.3283152862
823	0.3280228718
824	0.3275711205
825	0.3274220381
826	0.3269911209
827	0.3268003459
828	0.3265194345
829	0.3261327596
830	0.3260069759
831	0.3257714885
832	0.3255769497
833	0.3252752142
834	0.3250112864
835	0.3248029546
836	0.3245998088
837	0.3243713582
838	0.3241564298
839	0.3240175122
840	0.3237534796
841	0.3234840219
842	0.3231223652
843	0.3229059579
844	0.3226400874
845	0.3222915451
846	0.3220529588
847	0.3217909537
848	0.3214769604
849	0.3212365594
850	0.3210287888
851	0.3207551355
852	0.3204524848
853	0.3200974204
854	0.319948201
855	0.3197480761
856	0.3193314158
857	0.3191043184
858	0.3187025083
859	0.31837265
860	0.3182420869
861	0.3180121907
862	0.3176342887
863	0.3174388849
864	0.3170031504
865	0.3167755619
866	0.3166176081
867	0.3164450666
868	0.3163252408
869	0.3162143582
870	0.3159787136
871	0.3157166507
872	0.3154278537
873	0.3150855219
874	0.3149064547
875	0.314552335
876	0.3144262749
877	0.3142878694
878	0.3140390244
879	0.3137489184
880	0.3135668704
881	0.3132603442
882	0.31285896
883	0.3127013464
884	0.3124939913
885	0.3121886818
886	0.3120161867
887	0.3116676161
888	0.3115156965
889	0.3113684662
890	0.3111310102
891	0.3108925678
892	0.3106750724
893	0.3103854937
894	0.3102013091
895	0.3099553769
896	0.3098488023
897	0.3093426636
898	0.3091417762
899	0.3089756485
900	0.3087774102
901	0.3084745998
902	0.3082940604
903	0.307962946
904	0.3078031153
905	0.3075616501
906	0.3074089261
907	0.3070829724
908	0.3067583066
909	0.3065604382
910	0.3063487451
911	0.3060976328
912	0.3057421367
913	0.3054230079
914	0.3051543329
915	0.3048837053
916	0.3044654875
917	0.3044096847
